;;species;start;end;germinated;temp C°;;temp;germinated;;species
1;;wheat;0;1;0;10;1;10;20;;wheat
2;;wheat;1;2;0;10;2;16;20;;wheat
3;;wheat;2;3;0;10;3;22;20;;wheat
4;;wheat;3;4;0;10;4;28;19;;wheat
5;;wheat;4;5;0;10;5;34;20;;wheat
6;;wheat;5;6;4;10;6;40;20;;wheat
7;;wheat;6;7;6;10;;;;;
8;;wheat;7;9;8;10;;;;;
9;;wheat;9;10;0;10;;;;;
10;;wheat;10;11;0;10;;;;;
11;;wheat;11;12;0;10;;;;;
12;;wheat;12;13;0;10;;;;;
13;;wheat;13;14;0;10;;;;;
14;;wheat;14;16;0;10;;;;;
15;;wheat;16;17;0;10;;;;;
16;;wheat;17;18;0;10;;;;;
17;;wheat;18;Inf;2;10;;;;;
18;;wheat;0;2;0;16;;;;;
19;;wheat;2;3;0;16;;;;;
20;;wheat;3;4;11;16;;;;;
21;;wheat;4;5;7;16;;;;;
22;;wheat;5;6;0;16;;;;;
23;;wheat;6;7;1;16;;;;;
24;;wheat;7;9;0;16;;;;;
25;;wheat;9;10;0;16;;;;;
26;;wheat;10;11;0;16;;;;;
27;;wheat;11;12;0;16;;;;;
28;;wheat;12;13;0;16;;;;;
29;;wheat;13;14;0;16;;;;;
30;;wheat;14;16;0;16;;;;;
31;;wheat;16;17;0;16;;;;;
32;;wheat;17;18;0;16;;;;;
33;;wheat;18;Inf;1;16;;;;;
34;;wheat;0;2;0;22;;;;;
35;;wheat;2;3;1;22;;;;;
36;;wheat;3;4;12;22;;;;;
37;;wheat;4;5;3;22;;;;;
38;;wheat;5;6;0;22;;;;;
39;;wheat;6;7;3;22;;;;;
40;;wheat;7;9;0;22;;;;;
41;;wheat;9;10;0;22;;;;;
42;;wheat;10;11;0;22;;;;;
43;;wheat;11;12;0;22;;;;;
44;;wheat;12;13;0;22;;;;;
45;;wheat;13;14;0;22;;;;;
46;;wheat;14;16;0;22;;;;;
47;;wheat;16;17;0;22;;;;;
48;;wheat;17;18;0;22;;;;;
49;;wheat;18;Inf;1;22;;;;;
50;;wheat;0;1;0;28;;;;;
51;;wheat;1;2;0;28;;;;;
52;;wheat;2;3;0;28;;;;;
53;;wheat;3;4;8;28;;;;;
54;;wheat;4;5;0;28;;;;;
55;;wheat;5;6;8;28;;;;;
56;;wheat;6;7;3;28;;;;;
57;;wheat;7;9;0;28;;;;;
58;;wheat;9;10;0;28;;;;;
59;;wheat;10;11;0;28;;;;;
60;;wheat;11;12;0;28;;;;;
61;;wheat;12;13;0;28;;;;;
62;;wheat;13;14;0;28;;;;;
63;;wheat;14;16;0;28;;;;;
64;;wheat;16;17;0;28;;;;;
65;;wheat;17;18;0;28;;;;;
66;;wheat;18;Inf;1;28;;;;;
67;;wheat;0;2;0;34;;;;;
68;;wheat;2;3;5;34;;;;;
69;;wheat;3;4;11;34;;;;;
70;;wheat;4;5;1;34;;;;;
71;;wheat;5;6;1;34;;;;;
72;;wheat;6;7;0;34;;;;;
73;;wheat;7;9;0;34;;;;;
74;;wheat;9;10;0;34;;;;;
75;;wheat;10;11;0;34;;;;;
76;;wheat;11;12;1;34;;;;;
77;;wheat;12;13;0;34;;;;;
78;;wheat;13;14;0;34;;;;;
79;;wheat;14;16;0;34;;;;;
80;;wheat;16;17;0;34;;;;;
81;;wheat;17;18;0;34;;;;;
82;;wheat;18;Inf;1;34;;;;;
83;;wheat;0;1;0;40;;;;;
84;;wheat;1;2;0;40;;;;;
85;;wheat;2;3;0;40;;;;;
86;;wheat;3;4;0;40;;;;;
87;;wheat;4;5;0;40;;;;;
88;;wheat;5;6;0;40;;;;;
89;;wheat;6;7;0;40;;;;;
90;;wheat;7;9;0;40;;;;;
91;;wheat;9;10;1;40;;;;;
92;;wheat;10;11;2;40;;;;;
93;;wheat;11;12;0;40;;;;;
94;;wheat;12;13;0;40;;;;;
95;;wheat;13;14;0;40;;;;;
96;;wheat;14;16;0;40;;;;;
97;;wheat;16;17;0;40;;;;;
98;;wheat;17;18;0;40;;;;;
99;;wheat;18;Inf;17;40;;;;;
